# =============================================================================
# NXTUP Platform - Training Dataset (Zero Data Leakage)
# =============================================================================
# PURPOSE: Independent dataset generation for NXTUP Placement Risk Modeling.
# RECORDS: 1200 | RANDOM SEED: 4242
# SIH 2026 (Problem ID: SIH26135) | Team Lumora
# =============================================================================
attendance_pct,assessment_avg_score,certification_status,skill_gap_score,has_apprenticeship,training_duration_weeks,prior_experience_years,course_domain,state,num_job_applications,verified_skill_count,placement_status
56.9,37.1,0,75.6,0,16,0,Industrial Electronics,Gujarat,12,4,0
91.4,78.1,1,30.9,0,14,0,Data Science & AI,Maharashtra,8,11,1
60.8,42.7,1,56.7,1,16,1,Cloud Infrastructure,Tamil Nadu,7,7,1
86.6,80.6,1,31.1,0,12,0,Industrial Electronics,Telangana,8,10,1
74.0,58.8,0,59.6,1,18,0,Information Technology,Tamil Nadu,7,6,1
78.1,60.5,1,35.4,0,16,0,Data Science & AI,Karnataka,12,8,1
76.1,63.7,0,53.1,0,10,1,Healthcare Technology,Maharashtra,10,6,1
73.3,60.6,0,68.5,0,14,3,Data Science & AI,Kerala,8,4,1
87.3,76.8,1,33.6,1,14,0,Information Technology,Gujarat,12,10,1
72.3,47.1,0,66.2,0,24,0,Industrial Electronics,Maharashtra,5,4,1
85.1,72.1,1,41.9,0,18,0,Information Technology,Tamil Nadu,13,9,1
67.5,42.9,0,63.7,0,20,0,Information Technology,Karnataka,8,6,0
90.5,78.4,1,21.6,1,12,1,Cloud Infrastructure,Tamil Nadu,13,12,1
92.7,71.6,1,30.7,1,16,0,Information Technology,Karnataka,10,11,1
76.8,63.5,1,50.4,0,14,0,Cloud Infrastructure,Gujarat,17,8,1
89.9,86.5,0,43.8,0,20,0,Information Technology,Delhi,14,8,1
95.3,71.4,1,29.2,0,14,0,Data Science & AI,Karnataka,19,10,1
64.1,37.3,0,74.2,1,20,1,Data Science & AI,Tamil Nadu,7,5,0
86.0,68.6,0,45.3,0,14,3,Data Science & AI,Maharashtra,16,8,1
92.9,78.9,1,31.6,0,20,0,Data Science & AI,Maharashtra,10,9,1
83.1,68.9,0,48.3,1,16,0,Information Technology,Uttar Pradesh,14,8,1
84.1,69.1,1,40.7,1,14,0,Cloud Infrastructure,Karnataka,7,8,1
67.6,49.5,0,66.7,1,14,0,Information Technology,Uttar Pradesh,7,6,1
76.4,61.6,0,50.5,0,10,0,Healthcare Technology,Karnataka,11,7,1
78.2,60.6,0,56.4,0,12,1,Cloud Infrastructure,Kerala,6,8,1
82.9,58.1,0,49.6,1,16,0,Cloud Infrastructure,Tamil Nadu,6,7,1
82.3,61.1,0,48.8,0,16,1,Information Technology,Telangana,14,5,1
77.8,67.6,0,53.8,0,20,0,Information Technology,Maharashtra,15,6,1
85.9,76.5,1,33.8,0,20,1,Information Technology,Kerala,12,11,1
96.7,83.2,1,22.1,1,10,0,Healthcare Technology,Uttar Pradesh,14,10,1
84.0,71.8,1,40.8,0,18,3,Information Technology,Maharashtra,14,9,1
90.6,77.6,1,19.3,1,14,0,Data Science & AI,Maharashtra,15,9,1
