# =============================================================================
# NEXTUP Platform - Synthetic Placement Outcomes Dataset
# =============================================================================
# PURPOSE: Technical demonstration only for SIH 2026 (Problem ID: SIH26135)
# DISCLAIMER: This is SYNTHETIC/SIMULATED data generated algorithmically.
#             It does NOT represent real government data, real trainees, or
#             real employment outcomes. Model accuracy numbers computed on
#             this dataset do NOT represent real-world predictive performance.
#             Validation on real verified outcome data is REQUIRED before
#             any operational deployment.
# TEAM: Team Lumora | Generated: 2026-09-12
# =============================================================================
attendance_pct,assessment_avg_score,certification_status,skill_gap_score,has_apprenticeship,training_duration_weeks,prior_experience_years,course_domain,state,num_job_applications,verified_skill_count,placement_status
89.9,74.3,0,61.6,1,16,0,Information Technology,Maharashtra,18,8,1
80.0,53.5,1,59.1,0,15,4,Healthcare Technology,Tamil Nadu,8,2,1
73.3,80.8,1,33.6,0,9,2,Industrial Electronics,Telangana,11,11,1
55.3,100,0,30.5,1,13,4,Healthcare Technology,Maharashtra,6,3,1
84.3,30,1,70.7,0,15,5,Cloud Infrastructure,Gujarat,11,4,1
95.6,63.5,1,21.4,0,18,5,Information Technology,Gujarat,17,5,1
78.5,76.6,1,28.7,0,17,5,Information Technology,West Bengal,10,5,1
98.3,78.2,1,47.7,1,14,4,Industrial Electronics,Uttar Pradesh,12,7,1
71.5,71.5,0,17.7,1,20,5,Cloud Infrastructure,Karnataka,13,11,1
91.4,30,1,10.8,1,18,4,Industrial Electronics,Gujarat,24,6,1
75.6,82.2,0,60.5,1,16,1,Information Technology,Telangana,16,3,1
63.0,89.5,1,64.5,0,8,4,Cloud Infrastructure,Maharashtra,10,9,1
100,56.1,1,31.5,0,17,0,Information Technology,Karnataka,2,9,1
75.4,86.1,1,28.6,1,14,1,Cloud Infrastructure,Telangana,17,5,1
99.7,71.2,1,46.2,0,11,0,Industrial Electronics,Uttar Pradesh,10,2,1
77.0,77.2,1,15.0,0,18,3,Information Technology,Tamil Nadu,6,10,1
68.1,65.8,1,38.5,0,18,3,Healthcare Technology,Rajasthan,11,8,1
83.0,99.0,1,17.6,0,16,3,Information Technology,Tamil Nadu,4,8,1
48.3,80.5,0,66.6,1,9,0,Data Science and AI,Maharashtra,20,10,1
71.4,82.4,0,38.1,0,14,0,Cloud Infrastructure,West Bengal,12,6,1
44.6,93.0,1,48.9,1,10,1,Data Science and AI,Maharashtra,9,5,1
69.1,94.3,1,69.7,0,16,0,Data Science and AI,Karnataka,5,3,1
48.6,96.4,1,50.5,0,9,3,Cloud Infrastructure,Gujarat,21,11,1
74.0,73.3,1,31.0,0,20,0,Data Science and AI,Karnataka,0,9,1
